id,website,status_code,dnssec,mx_hosts_hostname,spf_record,spf_valid,dmarc_record,dmarc_valid,dmarc_tags_p_value,dmarc_tags_pct,dmarc_tags_aspf,dmarc_tags_adkim,dmarc_tags_sp,rank,company
1,www.walmart.com,200,False,"",,False,,False,,,,,,1,Walmart
2,www.amazon.com,200,False,"",,False,v=DMARC1;p=quarantine;pct=100;rua=mailto:report@dmarc.amazon.com;ruf=mailto:report@dmarc.amazon.com,True,quarantine,100,r,r,quarantine,2,Amazon
3,www.apple.com,200,False,"",,False,v=DMARC1; p=quarantine; sp=reject; rua=mailto:d@rua.agari.com; ruf=mailto:d@ruf.agari.com;,True,quarantine,100,r,r,reject,3,Apple
4,www.cvshealth.com,200,False,"",,False,"v=DMARC1; p=reject; fo=1; ri=3600; rua=mailto:aetna@rua.agari.com,mailto:3092ca25c4c2185@rep.dmarcanalyzer.com; ruf=mailto:aetna@ruf.agari.com",True,reject,100,r,r,reject,4,CVS Health
5,www.unitedhealthgroup.com,200,False,"",,False,,False,,,,,,5,UnitedHealth Group
6,corporate.exxonmobil.com,200,False,"",,False,"v=DMARC1; p=none; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarcreports@exxonmobil.com; ruf=mailto:dmarcreports@exxonmobil.com",True,none,100,r,r,none,6,Exxon Mobil
7,www.berkshirehathaway.com,200,False,"",,False,v=DMARC1;p=reject,True,reject,100,r,r,reject,7,Berkshire Hathaway
8,abc.xyz,200,False,smtp.google.com,v=spf1 include:_spf.google.com ~all,True,v=DMARC1; p=reject; rua=mailto:mailauth-reports@google.com,True,reject,100,r,r,reject,8,Alphabet
9,www.mckesson.com,200,False,"",,False,"v=DMARC1; p=none; sp=none; adkim=r; aspf=r; fo=1; pct=100; rf=afrf; ri=86400; rua=mailto:mckesson@rua.agari.com,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc@mckesson.com; ruf=mailto:mckesson@ruf.agari.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,mailto:dmarc@mckesson.com",True,none,100,r,r,none,9,McKesson
10,www.amerisourcebergen.com,200,False,"",,False,v=DMARC1; p=none; fo=1;rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,True,none,100,r,r,none,10,AmerisourceBergen
11,www.costco.com,200,False,"",,False,v=DMARC1; p=none; sp=none; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,True,none,100,r,r,none,11,Costco Wholesale
12,www.cigna.com,200,False,"",,False,v=DMARC1; p=quarantine; sp=reject; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,True,quarantine,100,r,r,reject,12,Cigna
13,www.att.com,200,False,"",,False,v=DMARC1; p=none; fo=1; rua=mailto:dmarc_rua@att.com; ruf=mailto:dmarc_ruf@att.com,True,none,100,r,r,none,13,AT&T
14,www.microsoft.com,200,False,"",,False,v=DMARC1; p=reject; pct=100; rua=mailto:itex-rua@microsoft.com; ruf=mailto:itex-ruf@microsoft.com; fo=1,True,reject,100,r,r,reject,14,Microsoft
15,www.cardinalhealth.com,200,False,"",,False,v=DMARC1; p=none; rua=mailto:dmarcreports@cardinalhealth.com; ruf=mailto:dmarcreports@cardinalhealth.com,True,none,100,r,r,none,15,Cardinal Health
16,www.chevron.com,200,False,"",,False,v=DMARC1; p=none; fo=1; ri=3600; rua=mailto:chevron@rua.dmp.cisco.com; ruf=mailto:chevron@ruf.dmp.cisco.com,True,none,100,r,r,none,16,Chevron
18,www.walgreensbootsalliance.com,200,False,"",,False,v=DMARC1; p=none; fo=1; ri=3600; rua=mailto:walgreens@rua.agari.com; ruf=mailto:walgreens@ruf.agari.com,True,none,100,r,r,none,18,Walgreens Boots Alliance
19,www.marathonpetroleum.com,200,False,"",,False,v=DMARC1; p=none; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,True,none,100,r,r,none,19,Marathon Petroleum
20,www.elevancehealth.com,200,False,"",,False,,False,,,,,,20,Elevance Health
21,www.kroger.com,200,False,"",,False,,False,,,,,,21,Kroger
22,www.ford.com,200,False,"",,False,"v=DMARC1; p=reject; rua=mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_rua@ford.com;ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,mailto:dmarc_ruf@ford.com; pct=100",True,reject,100,r,r,reject,22,Ford Motor
23,www.verizon.com,200,False,"",,False,v=DMARC1; p=reject; sp=none; rua=mailto:dmarc_agg@auth.returnpath.net; ruf=mailto:dmarc_afrf@auth.returnpath.net; rf=afrf; pct=100,True,reject,100,r,r,none,23,Verizon Communications
24,www.jpmorganchase.com,200,False,"",,False,v=DMARC1; p=reject; pct=100; rua=mailto:d@rua.agari.com; ruf=mailto:d@ruf.agari.com; fo=1,True,reject,100,r,r,reject,24,JPMorgan Chase
25,www.gm.com,200,False,"",,False,"v=DMARC1;p=none;fo=1;ri=3600;rua=mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_rua@gm.com;ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,mailto:dmarc_ruf@gm.com",True,none,100,r,r,none,25,General Motors
27,about.facebook.com,200,False,"",,False,v=DMARC1; p=reject; rua=mailto:a@dmarc.facebookmail.com; ruf=mailto:fb-dmarc@datafeeds.phishlabs.com; pct=100,True,reject,100,r,r,reject,27,Meta Platforms
28,corporate.comcast.com,200,True,"",,False,"v=DMARC1;p=reject;fo=1;rua=mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc-rua@dmarctest.comcast.net;ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com",True,reject,100,r,r,reject,28,Comcast
29,www.phillips66.com,200,False,"",,False,v=DMARC1; p=none; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com;fo=1,True,none,100,r,r,none,29,Phillips 66
30,www.valero.com,200,False,"",,False,,False,,,,,,30,Valero Energy
31,www.dell.com,200,False,"",,False,v=DMARC1; p=reject; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,True,reject,100,r,r,reject,31,Dell Technologies
32,www.target.com,200,False,"",,False,v=DMARC1; p=none; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@target.com,True,none,100,r,r,none,32,Target
33,www.fanniemae.com,200,False,"",,False,v=DMARC1; p=reject; sp=reject; rua=mailto:dmarc_agg@vali.email; fo=1,True,reject,100,r,r,reject,33,Fannie Mae
34,www.ups.com,200,False,"",,False,v=DMARC1; p=reject; rua=mailto:dmarc_rua@emaildefense.proofpoint.com;ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com; fo=1,True,reject,100,r,r,reject,34,UPS
36,www.bankofamerica.com,200,False,"",,False,v=DMARC1; p=reject; fo=1; rua=mailto:auth.report_ns@bankofamerica.com; ruf=mailto:bankofamerica@ruf.agari.com,True,reject,100,r,r,reject,36,Bank of America
37,www.jnj.com,200,False,"",,False,v=DMARC1; p=reject; sp=reject; fo=1; ri=3600; rua=mailto:jnj@rua.dmp.cisco.com; ruf=mailto:jnj@ruf.dmp.cisco.com,True,reject,100,r,r,reject,37,Johnson & Johnson
38,www.adm.com,200,False,"",,False,v=DMARC1; p=none; rua=mailto:dmarc_agg@vali.email;,True,none,100,r,r,none,38,Archer Daniels Midland
39,www.fedex.com,200,False,"",,False,,False,,,,,,39,FedEx
41,www.wellsfargo.com,200,False,"",,False,v=DMARC1; p=reject; sp=none; fo=1; rua=mailto:dmarc_agg@auth.returnpath.net; ruf=mailto:dmarc_afrf@auth.returnpath.net; rf=afrf; pct=100,True,reject,100,r,r,none,41,Wells Fargo
42,www.statefarm.com,200,False,"",,False,v=DMARC1; p=reject; rua=mailto:state-farm@rua.dmp.cisco.com; ruf=mailto:state-farm@ruf.dmp.cisco.com,True,reject,100,r,r,reject,42,State Farm Insurance
43,www.pfizer.com,200,False,"",,False,"v=DMARC1; p=reject; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc.rua@pfizer.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,mailto:dmarc.ruf@pfizer.com",True,reject,100,r,r,reject,43,Pfizer
44,www.citigroup.com,200,False,"",,False,"v=DMARC1; p=reject; rua=mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc.reports.rua@citi.com",True,reject,100,r,r,reject,44,Citigroup
45,www.pepsico.com,200,False,"",,False,v=DMARC1;p=none;fo=1;rua=mailto:itdmarcnotifications@pepsico.com;ruf=mailto:itdmarcnotifications@pepsico.com;rf=afrf;pct=100,True,none,100,r,r,none,45,PepsiCo
46,www.intel.com,200,False,"",,False,v=DMARC1;p=none;sp=none;fo=1;rua=mailto:dmarc.notification@intel.com,True,none,100,r,r,none,46,Intel
47,www.pg.co.uk,200,False,"",,False,v=DMARC1; p=none; fo=1; ri=3600; rua=mailto:procter-gamble@rua.dmp.cisco.com; ruf=mailto:procter-gamble@ruf.dmp.cisco.com,True,none,100,r,r,none,47,Procter & Gamble
48,www.ge.com,200,False,"",,False,v=DMARC1; p=none; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,True,none,100,r,r,none,48,General Electric
49,www.ibm.com,200,False,"",,False,v=DMARC1; p=none; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,True,none,100,r,r,none,49,IBM
50,www.metlife.com,200,False,"",,False,v=DMARC1;p=reject;sp=none;fo=1;ri=3600;rua=mailto:metlife@rua.dmp.cisco.com;ruf=mailto:metlife@ruf.dmp.cisco.com,True,reject,100,r,r,none,50,MetLife
51,www.prudential.com,200,False,"",,False,,False,,,,,,51,Prudential Financial
53,thewaltdisneycompany.com,200,False,generalsmtp.disney.com,v=spf1 include:mail.zendesk.com ?all,True,,False,,,,,,53,Walt Disney
54,www.energytransfer.com,200,False,"",,False,"v=DMARC1; p=quarantine; rua=mailto:dvhqyvy8@ag.dmarcian.com, mailto:dmarc@energytransfer.com; ruf=mailto:dvhqyvy8@fr.dmarcian.com;",True,quarantine,100,r,r,quarantine,54,Energy Transfer
55,www.lockheedmartin.com,200,False,"",,False,,False,,,,,,55,Lockheed Martin
56,www.freddiemac.com,200,False,"",,False,,False,,,,,,56,Freddie Mac
57,www.goldmansachs.com,200,False,"",,False,v=DMARC1; p=reject; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com; fo=1,True,reject,100,r,r,reject,57,Goldman Sachs Group
58,www.rtx.com,200,True,"",,False,v=DMARC1; p=reject; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com;fo=1,True,reject,100,r,r,reject,58,Raytheon Technologies
59,www.hp.com,200,False,"",,False,v=DMARC1; p=reject; sp=reject; pct=100; fo=1; rua=mailto:l1rcsnp0@ag.dmarcian.com; ruf=mailto:l1rcsnp0@fr.dmarcian.com;,True,reject,100,r,r,reject,59,HP
60,www.boeing.com,200,False,"",,False,v=DMARC1;p=none;pct=100;rua=mailto:dmarcreports@boeing.com,True,none,100,r,r,none,60,Boeing
61,www.morganstanley.com,200,False,"",,False,v=DMARC1; p=none; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com;,True,none,100,r,r,none,61,Morgan Stanley
62,www.abbvie.com,200,False,"",,False,"v=DMARC1; p=quarantine; fo=1; pct=100; ri=14400; rua=mailto:abbvie@rua.dmp.cisco.com,mailto:ECS.Messaging.Reports@abbvie.com; ruf=mailto:abbvie@ruf.dmp.cisco.com,mailto:ECS.Messaging.Reports@abbvie.com",True,quarantine,100,r,r,quarantine,62,HCAHealthcare
